metric_name,mean,hard_mean,auc_mean
ari_generalizability_1se,0.8346875,0.6796875,0.8346875
ari_average_1se,0.8315625,0.6843750000000001,0.8315625
ari_stability_1se,0.8196875,0.690625,0.8196875
ari_generalizability,0.78765625,0.6578125,0.7876562500000001
ari_average,0.78203125,0.659375,0.78203125
misclassification_generalizability,0.77984375,0.6375,0.77984375
ari_stability,0.72265625,0.615625,0.72265625
consensus_ce_stability,0.715,0.6046875,0.715
consensus_gini_stability,0.71265625,0.6046875,0.71265625
consensus_pac_stability,0.69640625,0.5828125,0.69640625
ari_average_quant,0.65234375,0.5234375,0.65234375
ari_generalizability_quant,0.62921875,0.49375,0.6292187499999999
ari_stability_quant,0.6259375,0.5,0.6259375
silhouette,0.6109375,0.3875,0.6109375
calinski_harabasz,0.5890625,0.3328125,0.5890625
davies_bouldin,0.50734375,0.2890625,0.50734375
gap,0.2425,0.1453125,0.2425
