embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
127,3,0,500,127,20,10,6,spectral,16.440857999958098,2.7401429999930165,1.5885215840535238
127,4,0,500,127,20,10,6,spectral,10.78605483402498,1.7976758056708302,1.4572370840469375
127,5,0,500,127,20,10,6,spectral,11.548344957991503,1.9247241596652505,1.6146312499186024
127,6,0,500,127,20,10,6,spectral,11.860021707951091,1.9766702846585151,1.6106990419793874
127,3,1,500,127,20,10,6,spectral,10.73346308292821,1.7889105138213683,1.5644209999591112
127,4,1,500,127,20,10,6,spectral,13.067247624974698,2.1778746041624495,1.831592833972536
127,5,1,500,127,20,10,6,spectral,11.49960108299274,1.91660018049879,1.6410402080509812
127,6,1,500,127,20,10,6,spectral,11.367779916967265,1.8946299861612108,1.704077958012931
127,3,2,500,127,20,10,6,spectral,10.277715250034817,1.7129525416724694,1.478308416903019
127,4,2,500,127,20,10,6,spectral,10.361501583945937,1.7269169306576562,1.470957792014815
127,5,2,500,127,20,10,6,spectral,10.527742250007577,1.7546237083345961,1.5192798749776557
127,6,2,500,127,20,10,6,spectral,10.888949165935628,1.8148248609892714,1.5693174579646438
127,3,3,500,127,20,10,6,spectral,10.037498124991544,1.6729163541652572,1.596684708027169
127,4,3,500,127,20,10,6,spectral,10.885258208960295,1.8142097014933825,1.7041547920089215
127,5,3,500,127,20,10,6,spectral,11.140622750041075,1.8567704583401792,1.5195158339338377
127,6,3,500,127,20,10,6,spectral,10.675139958038926,1.7791899930064876,1.492763084010221
127,3,4,500,127,20,10,6,spectral,9.87593291606754,1.6459888193445902,1.5033540420699865
127,4,4,500,127,20,10,6,spectral,10.17456866602879,1.6957614443381317,1.423829457955435
127,5,4,500,127,20,10,6,spectral,10.940050167031586,1.8233416945052643,1.6246676250593737
127,6,4,500,127,20,10,6,spectral,11.211843958008103,1.8686406596680172,1.8889920830260962
127,3,5,500,127,20,10,6,spectral,10.606474291998893,1.7677457153331488,1.7041310409549624
127,4,5,500,127,20,10,6,spectral,10.68565308302641,1.7809421805044015,1.6623111669905484
127,5,5,500,127,20,10,6,spectral,11.1063118330203,1.85105197217005,1.5453060410218313
127,6,5,500,127,20,10,6,spectral,11.110554834012873,1.8517591390021455,1.6299498749431223
127,3,6,500,127,20,10,6,spectral,10.303722709068097,1.7172871181780163,1.4709905419731513
127,4,6,500,127,20,10,6,spectral,10.463894249987788,1.7439823749979648,1.4837261250941083
127,5,6,500,127,20,10,6,spectral,11.015097333933227,1.8358495556555379,1.498209625016898
127,6,6,500,127,20,10,6,spectral,11.116656083031558,1.852776013838593,1.6323305839905515
127,3,7,500,127,20,10,6,spectral,10.590111540979706,1.7650185901632842,1.5480300830677152
127,4,7,500,127,20,10,6,spectral,10.40882666700054,1.7348044445000899,1.486157084000297
127,5,7,500,127,20,10,6,spectral,10.930654958006926,1.8217758263344876,1.581043792073615
127,6,7,500,127,20,10,6,spectral,10.95243370893877,1.8254056181564617,1.522715791943483
127,3,8,500,127,20,10,6,spectral,11.260171000030823,1.876695166671804,1.623331916052848
127,4,8,500,127,20,10,6,spectral,11.430469500017352,1.905078250002892,1.4981161250034347
127,5,8,500,127,20,10,6,spectral,10.940458666998893,1.8234097778331488,1.4647162079345435
127,6,8,500,127,20,10,6,spectral,11.964588041999377,1.9940980069998961,1.5427961660316214
127,3,9,500,127,20,10,6,spectral,10.09445629210677,1.682409382017795,1.3765570000978187
127,4,9,500,127,20,10,6,spectral,9.84657904098276,1.6410965068304602,1.3987893749726936
127,5,9,500,127,20,10,6,spectral,11.048204125021584,1.841367354170264,1.6269715829985216
127,6,9,500,127,20,10,6,spectral,12.219841916929,2.0366403194881664,1.618683125008829
127,3,10,500,127,20,10,6,spectral,10.400511916959658,1.7334186528266098,1.640982749988325
127,4,10,500,127,20,10,6,spectral,11.551923249964602,1.925320541660767,1.4592714590253308
127,5,10,500,127,20,10,6,spectral,10.952488792012446,1.825414798668741,1.3888162500225008
127,6,10,500,127,20,10,6,spectral,10.712465542019345,1.7854109236698907,1.4830708750523627
127,3,11,500,127,20,10,6,spectral,9.919153374969028,1.6531922291615047,1.427981249988079
