axis_name,axis_value,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
p,10,0,3,500,10,20,10,6,kmeans,1.8073250419984106,9.056034792010905,0.30122084033306845,1.5093391320018175
p,10,1,3,500,10,20,10,6,kmeans,1.808956125023542,9.122848833998432,0.30149268750392366,1.5204748056664055
p,10,2,3,500,10,20,10,6,kmeans,1.7946907909936272,9.230385291011771,0.2991151318322712,1.5383975485019619
p,10,3,3,500,10,20,10,6,kmeans,1.7717568750085775,8.972002082999097,0.2952928125014296,1.4953336804998496
p,10,4,3,500,10,20,10,6,kmeans,1.7870274170127232,9.098192916979315,0.29783790283545386,1.5163654861632192
p,10,5,3,500,10,20,10,6,kmeans,1.8314895829826128,9.302936374995625,0.30524826383043546,1.550489395832604
p,10,6,3,500,10,20,10,6,kmeans,1.7754571660188958,9.012800790980691,0.295909527669816,1.5021334651634486
p,10,7,3,500,10,20,10,6,kmeans,1.7930083749815822,9.236351792002097,0.29883472916359705,1.5393919653336827
p,10,8,3,500,10,20,10,6,kmeans,1.7870265830133576,8.948977541993372,0.2978377638355596,1.4914962569988954
p,10,9,3,500,10,20,10,6,kmeans,1.786073249997571,10.079472000012174,0.29767887499959517,1.6799120000020291
p,10,10,3,500,10,20,10,6,kmeans,1.884417958004633,9.620784541999456,0.3140696596674388,1.6034640903332427
p,10,11,3,500,10,20,10,6,kmeans,1.9953466250153724,9.4176594580058,0.3325577708358954,1.5696099096676335
p,10,12,3,500,10,20,10,6,kmeans,1.760401167004602,8.495269582985202,0.293400194500767,1.415878263830867
p,10,13,3,500,10,20,10,6,kmeans,1.7369484580121934,8.414770209026756,0.2894914096686989,1.4024617015044594
p,10,14,3,500,10,20,10,6,kmeans,1.7841207919991575,8.499937458982458,0.2973534653331929,1.416656243163743
p,10,15,3,500,10,20,10,6,kmeans,1.683984250004869,8.46844141697511,0.28066404166747816,1.4114069028291851
p,10,16,3,500,10,20,10,6,kmeans,1.7767769999918528,8.562227499991423,0.29612949999864213,1.4270379166652372
p,10,17,3,500,10,20,10,6,kmeans,1.7492806669906713,8.374208416993497,0.29154677783177857,1.3957014028322494
p,10,18,3,500,10,20,10,6,kmeans,1.751801707985578,8.510176707990468,0.2919669513309297,1.418362784665078
