axis_name,axis_value,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
embed_dim,10,0,3,500,10,20,10,6,spectral,2.7090454580029473,8.070023500011303,0.45150757633382455,1.3450039166685503
embed_dim,10,1,3,500,10,20,10,6,spectral,2.468305499991402,8.159795208019204,0.411384249998567,1.3599658680032007
embed_dim,10,2,3,500,10,20,10,6,spectral,2.6252752090222202,8.22670462494716,0.43754586817037006,1.3711174374911934
embed_dim,10,3,3,500,10,20,10,6,spectral,2.4265892499824986,8.03772324998863,0.4044315416637498,1.3396205416647717
embed_dim,10,4,3,500,10,20,10,6,spectral,2.5153901660232805,8.088806083018426,0.4192316943372134,1.3481343471697376
embed_dim,10,5,3,500,10,20,10,6,spectral,2.448498042009305,8.071558459021617,0.40808300700155087,1.3452597431702695
embed_dim,10,6,3,500,10,20,10,6,spectral,2.448744707973674,7.968695000046864,0.4081241179956123,1.328115833341144
embed_dim,10,7,3,500,10,20,10,6,spectral,2.4604023749707267,8.102864291984588,0.4100670624951211,1.3504773819974314
embed_dim,10,8,3,500,10,20,10,6,spectral,2.44342945801327,8.227579166996293,0.4072382430022117,1.371263194499382
embed_dim,10,9,3,500,10,20,10,6,spectral,2.4460796659695916,8.0332732090028,0.40767994432826526,1.3388788681671333
embed_dim,10,10,3,500,10,20,10,6,spectral,2.358294916979503,8.052174999960698,0.39304915282991715,1.3420291666601163
embed_dim,10,11,3,500,10,20,10,6,spectral,2.59416404098738,8.35260612500133,0.43236067349789664,1.392101020833555
embed_dim,10,12,3,500,10,20,10,6,spectral,2.4103416669531725,8.14376958302455,0.40172361115886207,1.3572949305040918
embed_dim,10,13,3,500,10,20,10,6,spectral,2.4442346669966355,8.152203499979805,0.40737244449943927,1.3587005833299675
embed_dim,10,14,3,500,10,20,10,6,spectral,2.4079976670327596,8.011564999993425,0.4013329445054599,1.3352608333322376
embed_dim,10,15,3,500,10,20,10,6,spectral,2.4514559590024874,8.271678292017896,0.4085759931670812,1.3786130486696493
embed_dim,10,16,3,500,10,20,10,6,spectral,2.5666961669921875,7.946253957983572,0.42778269449869794,1.3243756596639287
embed_dim,10,17,3,500,10,20,10,6,spectral,2.508884584007319,8.135479957971256,0.4181474306678865,1.3559133263285428
embed_dim,10,18,3,500,10,20,10,6,spectral,2.5971197499893606,7.737936874968,0.43285329166489345,1.289656145828
embed_dim,10,19,3,500,10,20,10,6,spectral,2.4018327920348383,7.965283415978774,0.40030546533913974,1.3275472359964624
embed_dim,10,0,4,500,10,20,10,6,spectral,2.486935666995123,8.200427833013237,0.4144892778325205,1.3667379721688728
embed_dim,10,1,4,500,10,20,10,6,spectral,2.367459167027846,8.074407083040569,0.3945765278379743,1.345734513840095
embed_dim,10,2,4,500,10,20,10,6,spectral,2.4582509999745525,7.973292874987237,0.40970849999575876,1.3288821458312061
embed_dim,10,3,4,500,10,20,10,6,spectral,2.380907999991905,8.16753520804923,0.3968179999986508,1.361255868008205
embed_dim,10,4,4,500,10,20,10,6,spectral,2.366146042011678,8.064465750008821,0.394357673668613,1.3440776250014703
embed_dim,10,5,4,500,10,20,10,6,spectral,2.43847079196712,7.966551833029371,0.40641179866118665,1.3277586388382285
embed_dim,10,6,4,500,10,20,10,6,spectral,2.453852208040189,7.925435582990758,0.40897536800669815,1.3209059304984596
embed_dim,10,7,4,500,10,20,10,6,spectral,2.4667486249818467,7.972801916010212,0.4111247708303078,1.3288003193350353
embed_dim,10,8,4,500,10,20,10,6,spectral,2.3823969999793917,7.983387750049587,0.39706616666323197,1.3305646250082646
embed_dim,10,9,4,500,10,20,10,6,spectral,2.390202082984615,8.12323991698213,0.39836701383076917,1.3538733194970216
embed_dim,10,10,4,500,10,20,10,6,spectral,2.496387124992907,7.677182832965627,0.4160645208321512,1.279530472160938
embed_dim,10,11,4,500,10,20,10,6,spectral,2.436954999982845,8.320101167017128,0.4061591666638075,1.386683527836188
embed_dim,10,12,4,500,10,20,10,6,spectral,2.431868250016123,8.024099500034936,0.40531137500268716,1.3373499166724894
embed_dim,10,13,4,500,10,20,10,6,spectral,2.5140834999619983,7.906014666019473,0.41901391666033305,1.3176691110032455
embed_dim,10,14,4,500,10,20,10,6,spectral,2.4332413749652915,8.019001459004357,0.4055402291608819,1.336500243167393
embed_dim,10,15,4,500,10,20,10,6,spectral,2.5095905829803087,8.002591750002466,0.4182650971633848,1.3337652916670777
embed_dim,10,16,4,500,10,20,10,6,spectral,2.3972166249877773,8.136925374972634,0.39953610416462954,1.3561542291621056
embed_dim,10,17,4,500,10,20,10,6,spectral,2.436276708962396,8.171771458000876,0.4060461181603993,1.3619619096668127
embed_dim,10,18,4,500,10,20,10,6,spectral,2.3338788339751773,8.1627360410057,0.38897980566252954,1.3604560068342835
embed_dim,10,19,4,500,10,20,10,6,spectral,2.435078875045292,7.937982165953144,0.40584647917421535,1.3229970276588574
embed_dim,18,0,3,500,18,20,10,6,spectral,2.570875957957469,8.293540124956053,0.4284793263262448,1.3822566874926754
embed_dim,18,1,3,500,18,20,10,6,spectral,2.5244835420162417,8.186391708964948,0.42074725700270693,1.3643986181608245
embed_dim,18,2,3,500,18,20,10,6,spectral,2.85471329203574,8.221408917044755,0.4757855486726233,1.3702348195074592
embed_dim,18,3,3,500,18,20,10,6,spectral,2.4902053750120103,8.280443333031144,0.4150342291686684,1.380073888838524
embed_dim,18,4,3,500,18,20,10,6,spectral,2.42477174999658,8.40096195798833,0.40412862499943003,1.4001603263313882
embed_dim,18,5,3,500,18,20,10,6,spectral,2.4670531249721535,8.21358916600002,0.41117552082869224,1.36893152766667
embed_dim,18,6,3,500,18,20,10,6,spectral,2.4700312499771826,8.324867499992251,0.4116718749961971,1.3874779166653752
embed_dim,18,7,3,500,18,20,10,6,spectral,2.443721749994438,8.2130396659486,0.40728695833240636,1.3688399443247665
embed_dim,18,8,3,500,18,20,10,6,spectral,2.6068816669867374,8.556144875008613,0.4344802778311229,1.4260241458347689
embed_dim,18,9,3,500,18,20,10,6,spectral,2.590198040998075,8.578803499985952,0.4316996734996792,1.429800583330992
embed_dim,18,10,3,500,18,20,10,6,spectral,2.5064807920134626,8.41011337499367,0.41774679866891046,1.401685562498945
embed_dim,18,11,3,500,18,20,10,6,spectral,2.502170625026338,8.487248875026125,0.4170284375043896,1.414541479171021
embed_dim,18,12,3,500,18,20,10,6,spectral,2.5081343749770895,8.154758999997284,0.4180223958295149,1.3591264999995474
embed_dim,18,13,3,500,18,20,10,6,spectral,2.4692022500094026,8.32702149997931,0.41153370833490044,1.3878369166632183
embed_dim,18,14,3,500,18,20,10,6,spectral,2.3633161249454133,8.094977792003192,0.39388602082423557,1.3491629653338653
embed_dim,18,15,3,500,18,20,10,6,spectral,2.4286150420084596,8.343393458984792,0.4047691736680766,1.3905655764974654
embed_dim,18,16,3,500,18,20,10,6,spectral,2.357144374982454,8.325691584032029,0.39285739583040896,1.387615264005338
embed_dim,18,17,3,500,18,20,10,6,spectral,2.3785659589921124,8.541622457967605,0.3964276598320187,1.423603742994601
embed_dim,18,18,3,500,18,20,10,6,spectral,2.394575458019972,8.267152625019662,0.3990959096699953,1.3778587708366103
embed_dim,18,19,3,500,18,20,10,6,spectral,2.430122333986219,8.147720415960066,0.40502038899770315,1.357953402660011
embed_dim,18,0,4,500,18,20,10,6,spectral,2.4704360410105437,8.357810957997572,0.41173934016842395,1.3929684929995954
embed_dim,18,1,4,500,18,20,10,6,spectral,2.439371125015896,8.403762582980562,0.40656185416931595,1.400627097163427
embed_dim,18,2,4,500,18,20,10,6,spectral,2.43679012497887,8.263169416983146,0.4061316874964784,1.3771949028305244
embed_dim,18,3,4,500,18,20,10,6,spectral,2.3990517079946585,8.286741834017448,0.3998419513324431,1.381123639002908
embed_dim,18,4,4,500,18,20,10,6,spectral,2.4363265419960953,8.452393124985974,0.4060544236660159,1.4087321874976624
embed_dim,18,5,4,500,18,20,10,6,spectral,2.4538249170291238,8.472952125011943,0.408970819504854,1.4121586875019905
embed_dim,18,6,4,500,18,20,10,6,spectral,2.449012416996993,8.400967208028305,0.4081687361661655,1.4001612013380509
embed_dim,18,7,4,500,18,20,10,6,spectral,2.4507964170188643,8.44561904197326,0.40846606950314407,1.4076031736622099
embed_dim,18,8,4,500,18,20,10,6,spectral,2.53094454202801,8.358012334036175,0.42182409033800167,1.3930020556726959
embed_dim,18,9,4,500,18,20,10,6,spectral,2.3926515000057407,8.255465207970701,0.39877525000095676,1.3759108679951169
embed_dim,18,10,4,500,18,20,10,6,spectral,2.433222708001267,8.246159665985033,0.4055371180002112,1.3743599443308387
embed_dim,18,11,4,500,18,20,10,6,spectral,2.444978249957785,8.180185834004078,0.40749637499296415,1.3633643056673463
embed_dim,18,12,4,500,18,20,10,6,spectral,2.3796744580031373,8.399509750015568,0.3966124096671895,1.3999182916692614
embed_dim,18,13,4,500,18,20,10,6,spectral,2.5329873749869876,8.554685249982867,0.42216456249783124,1.4257808749971446
embed_dim,18,14,4,500,18,20,10,6,spectral,2.5396441660122946,8.47705245797988,0.42327402766871575,1.41284207632998
embed_dim,18,15,4,500,18,20,10,6,spectral,2.560507499962114,8.614281875023153,0.42675124999368563,1.4357136458371922
embed_dim,18,16,4,500,18,20,10,6,spectral,2.5195229160017334,8.577596290968359,0.4199204860002889,1.4295993818280597
embed_dim,18,17,4,500,18,20,10,6,spectral,2.529684167006053,8.36052337498404,0.42161402783434215,1.3934205624973401
embed_dim,18,18,4,500,18,20,10,6,spectral,2.4702506249886937,8.687354291963857,0.41170843749811564,1.4478923819939762
embed_dim,18,19,4,500,18,20,10,6,spectral,2.4188519999734126,8.258710916037671,0.40314199999556877,1.3764518193396118
embed_dim,34,0,3,500,34,20,10,6,spectral,2.410954166960437,8.559455082984641,0.40182569449340616,1.4265758471641068
embed_dim,34,1,3,500,34,20,10,6,spectral,2.498359583027195,8.497244041995145,0.41639326383786585,1.4162073403325242
embed_dim,34,2,3,500,34,20,10,6,spectral,2.532001333020162,8.645639542024583,0.422000222170027,1.4409399236707638
embed_dim,34,3,3,500,34,20,10,6,spectral,2.4542714590206742,8.402087166032288,0.40904524317011237,1.4003478610053814
embed_dim,34,4,3,500,34,20,10,6,spectral,2.4919494580244645,8.434355125005823,0.4153249096707441,1.4057258541676372
embed_dim,34,5,3,500,34,20,10,6,spectral,2.5113589169923216,8.457715917029418,0.4185598194987203,1.409619319504903
embed_dim,34,6,3,500,34,20,10,6,spectral,2.4806874580099247,8.441379749972839,0.4134479096683208,1.406896624995473
embed_dim,34,7,3,500,34,20,10,6,spectral,2.462550625030417,8.42937416699715,0.41042510417173617,1.404895694499525
embed_dim,34,8,3,500,34,20,10,6,spectral,2.4032110840198584,8.541162416979205,0.4005351806699764,1.423527069496534
embed_dim,34,9,3,500,34,20,10,6,spectral,2.4908488750224933,8.655366333958227,0.41514147917041555,1.4425610556597046
embed_dim,34,10,3,500,34,20,10,6,spectral,2.436335750040598,8.38853920798283,0.4060559583400997,1.3980898679971385
embed_dim,34,11,3,500,34,20,10,6,spectral,2.4454756670165807,8.55019275000086,0.40757927783609676,1.4250321250001434
embed_dim,34,12,3,500,34,20,10,6,spectral,2.4720579579588957,8.541258708981331,0.41200965965981595,1.4235431181635552
embed_dim,34,13,3,500,34,20,10,6,spectral,2.4315796669689007,8.54251670796657,0.40526327782815014,1.423752784661095
embed_dim,34,14,3,500,34,20,10,6,spectral,2.381377917015925,8.297630040964577,0.3968963195026542,1.382938340160763
embed_dim,34,15,3,500,34,20,10,6,spectral,2.447964457969647,8.557588124996983,0.4079940763282745,1.426264687499497
embed_dim,34,16,3,500,34,20,10,6,spectral,2.3990485420217738,8.457831000036094,0.3998414236702956,1.4096385000060156
embed_dim,34,17,3,500,34,20,10,6,spectral,2.4952118750079535,8.576432832982391,0.41586864583465893,1.429405472163732
embed_dim,34,18,3,500,34,20,10,6,spectral,2.4263477500062436,8.552329083031509,0.40439129166770726,1.4253881805052515
embed_dim,34,19,3,500,34,20,10,6,spectral,2.415240000002086,8.471415042004082,0.4025400000003477,1.4119025070006803
embed_dim,34,0,4,500,34,20,10,6,spectral,2.494113583001308,8.704002040962223,0.4156855971668847,1.450667006827037
embed_dim,34,1,4,500,34,20,10,6,spectral,2.459601082955487,8.662116582971066,0.40993351382591453,1.4436860971618444
embed_dim,34,2,4,500,34,20,10,6,spectral,2.4743203750113025,8.535633124993183,0.4123867291685504,1.422605520832197
embed_dim,34,3,4,500,34,20,10,6,spectral,2.436272958992049,8.465520500030834,0.4060454931653415,1.4109200833384723
embed_dim,34,4,4,500,34,20,10,6,spectral,2.454987458011601,8.742268415982835,0.40916457633526687,1.4570447359971392
embed_dim,34,5,4,500,34,20,10,6,spectral,2.42305970803136,8.617872499977238,0.40384328467189334,1.4363120833295397
embed_dim,34,6,4,500,34,20,10,6,spectral,2.5351194579852745,8.626348333025817,0.42251990966421243,1.4377247221709695
embed_dim,34,7,4,500,34,20,10,6,spectral,2.5452800830244087,8.703711832989939,0.4242133471707348,1.4506186388316564
embed_dim,34,8,4,500,34,20,10,6,spectral,2.4204517499892972,8.521413333015516,0.4034086249982162,1.420235555502586
embed_dim,34,9,4,500,34,20,10,6,spectral,2.4593707080348395,8.48784987500403,0.4098951180058066,1.4146416458340052
embed_dim,34,10,4,500,34,20,10,6,spectral,2.433404207986314,8.779944042034913,0.405567367997719,1.4633240070058189
embed_dim,34,11,4,500,34,20,10,6,spectral,2.5152012910111807,8.71656825003447,0.4192002151685301,1.452761375005745
embed_dim,34,12,4,500,34,20,10,6,spectral,2.5096495829639025,8.821192624978721,0.41827493049398373,1.4701987708297868
embed_dim,34,13,4,500,34,20,10,6,spectral,2.3848027920466848,8.672112083004322,0.3974671320077808,1.4453520138340537
embed_dim,34,14,4,500,34,20,10,6,spectral,2.3835825419519097,8.446360083005857,0.39726375699198496,1.407726680500976
embed_dim,34,15,4,500,34,20,10,6,spectral,2.395783875021152,8.632300874975044,0.39929731250352535,1.4387168124958407
embed_dim,34,16,4,500,34,20,10,6,spectral,2.3949758750386536,8.766895667009521,0.3991626458397756,1.4611492778349202
embed_dim,34,17,4,500,34,20,10,6,spectral,2.4330311660305597,8.557400833000429,0.40550519433842663,1.4262334721667382
embed_dim,34,18,4,500,34,20,10,6,spectral,2.5546830829698592,8.82683795801131,0.4257805138283099,1.4711396596685518
embed_dim,34,19,4,500,34,20,10,6,spectral,2.439633624977432,8.639098250016104,0.40660560416290537,1.4398497083360173
embed_dim,62,0,3,500,62,20,10,6,spectral,2.5124913749750704,8.910088417003863,0.4187485624958451,1.4850147361673105
embed_dim,62,1,3,500,62,20,10,6,spectral,2.41380812501302,9.054571583983488,0.40230135416883667,1.5090952639972481
embed_dim,62,2,3,500,62,20,10,6,spectral,2.410078542015981,8.917837124958169,0.4016797570026635,1.4863061874930281
embed_dim,62,3,3,500,62,20,10,6,spectral,2.4722910409909673,9.052540958975442,0.41204850683182787,1.508756826495907
embed_dim,62,4,3,500,62,20,10,6,spectral,2.5142447919934057,9.079602667014115,0.4190407986655676,1.513267111169019
embed_dim,62,5,3,500,62,20,10,6,spectral,2.583098915987648,9.091936541954055,0.43051648599794134,1.5153227569923426
embed_dim,62,6,3,500,62,20,10,6,spectral,2.4704282080056146,9.041688708006404,0.41173803466760245,1.5069481180010673
embed_dim,62,7,3,500,62,20,10,6,spectral,2.4758195839822292,9.140311208961066,0.41263659733037156,1.523385201493511
embed_dim,62,8,3,500,62,20,10,6,spectral,2.390742500021588,8.899414207960945,0.39845708333693136,1.483235701326824
embed_dim,62,9,3,500,62,20,10,6,spectral,2.5301409169915132,9.063117624958977,0.42169015283191885,1.5105196041598294
embed_dim,62,10,3,500,62,20,10,6,spectral,2.5409427499980666,8.930026208050549,0.4234904583330111,1.4883377013417582
embed_dim,62,11,3,500,62,20,10,6,spectral,2.408540709002409,8.842677916982211,0.40142345150040154,1.4737796528303686
embed_dim,62,12,3,500,62,20,10,6,spectral,2.4402426250162534,8.862316165992524,0.40670710416937556,1.4770526943320874
embed_dim,62,13,3,500,62,20,10,6,spectral,2.5002157079870813,8.973313249996863,0.41670261799784686,1.4955522083328106
embed_dim,62,14,3,500,62,20,10,6,spectral,2.4720144160091877,9.175122249987908,0.41200240266819793,1.5291870416646514
embed_dim,62,15,3,500,62,20,10,6,spectral,2.4295612089917995,8.94881291600177,0.40492686816529994,1.4914688193336285
embed_dim,62,16,3,500,62,20,10,6,spectral,2.6472991249756888,9.199103458959144,0.4412165208292815,1.5331839098265239
embed_dim,62,17,3,500,62,20,10,6,spectral,2.4673158339574,9.0351223340258,0.4112193056595667,1.5058537223376334
embed_dim,62,18,3,500,62,20,10,6,spectral,2.5332116250065155,8.85999908298254,0.4222019375010859,1.4766665138304234
embed_dim,62,19,3,500,62,20,10,6,spectral,2.482901041978039,9.179675000021234,0.41381684032967314,1.5299458333368723
embed_dim,62,0,4,500,62,20,10,6,spectral,2.4891723330365494,8.918301833968144,0.41486205550609156,1.4863836389946907
embed_dim,62,1,4,500,62,20,10,6,spectral,2.5651403330266476,9.461085084010847,0.4275233888377746,1.576847514001808
embed_dim,62,2,4,500,62,20,10,6,spectral,2.452417832973879,9.148185874975752,0.4087363054956465,1.524697645829292
embed_dim,62,3,4,500,62,20,10,6,spectral,2.47688858397305,9.170254083001055,0.41281476399550837,1.5283756805001758
embed_dim,62,4,4,500,62,20,10,6,spectral,2.489556416985579,9.015523792011663,0.4149260694975965,1.5025872986686106
embed_dim,62,5,4,500,62,20,10,6,spectral,2.5416247919783928,9.321840166987386,0.4236041319963988,1.553640027831231
embed_dim,62,6,4,500,62,20,10,6,spectral,2.488248333975207,9.15040066599613,0.4147080556625345,1.5250667776660218
embed_dim,62,7,4,500,62,20,10,6,spectral,2.484110707999207,9.297463040973525,0.4140184513332012,1.5495771734955877
embed_dim,62,8,4,500,62,20,10,6,spectral,2.446211249975022,9.182139374956023,0.407701874995837,1.5303565624926705
embed_dim,62,9,4,500,62,20,10,6,spectral,2.504339125007391,9.439337833959144,0.4173898541678985,1.5732229723265239
embed_dim,62,10,4,500,62,20,10,6,spectral,2.4554806670057587,9.299045290972572,0.40924677783429314,1.549840881828762
embed_dim,62,11,4,500,62,20,10,6,spectral,2.550371458986774,9.282762999995612,0.425061909831129,1.5471271666659352
embed_dim,62,12,4,500,62,20,10,6,spectral,2.4762970830197446,9.48969804099761,0.4127161805032908,1.5816163401662682
embed_dim,62,13,4,500,62,20,10,6,spectral,2.4753540829988196,9.040163500001654,0.4125590138331366,1.5066939166669424
embed_dim,62,14,4,500,62,20,10,6,spectral,2.4721250000293367,9.22883749997709,0.41202083333822276,1.5381395833295148
embed_dim,62,15,4,500,62,20,10,6,spectral,2.429986832954455,9.146124291990418,0.4049978054924092,1.5243540486650697
embed_dim,62,16,4,500,62,20,10,6,spectral,2.5235057499958202,9.21549612499075,0.42058429166597006,1.5359160208317917
embed_dim,62,17,4,500,62,20,10,6,spectral,2.5744182500056922,9.59131329198135,0.42906970833428204,1.5985522153302252
embed_dim,62,18,4,500,62,20,10,6,spectral,2.481898458034266,9.231395499955397,0.41364974300571095,1.538565916659233
embed_dim,62,19,4,500,62,20,10,6,spectral,2.5078278749715537,9.498578708036803,0.41797131249525893,1.5830964513394672
embed_dim,116,0,3,500,116,20,10,6,spectral,2.5369639580021612,9.695910082955379,0.4228273263336935,1.6159850138258964
embed_dim,116,1,3,500,116,20,10,6,spectral,2.561939875013195,9.940602665999904,0.42698997916886583,1.656767110999984
embed_dim,116,2,3,500,116,20,10,6,spectral,2.539373582985718,9.939992790983524,0.4232289304976196,1.6566654651639208
embed_dim,116,3,3,500,116,20,10,6,spectral,2.497469166002702,9.672523958026432,0.41624486100045033,1.6120873263377387
embed_dim,116,4,3,500,116,20,10,6,spectral,2.441186584008392,9.793532208015677,0.4068644306680653,1.6322553680026128
embed_dim,116,5,3,500,116,20,10,6,spectral,2.564812291995622,9.85337891697418,0.4274687153326037,1.6422298194956966
embed_dim,116,6,3,500,116,20,10,6,spectral,2.509608040971216,9.799003208987415,0.418268006828536,1.6331672014979024
embed_dim,116,7,3,500,116,20,10,6,spectral,2.521316000027582,9.976442124985624,0.4202193333379303,1.6627403541642707
embed_dim,116,8,3,500,116,20,10,6,spectral,2.5383432499947958,9.761674874986056,0.42305720833246596,1.6269458124976761
embed_dim,116,9,3,500,116,20,10,6,spectral,2.4662280419724993,9.734257582982536,0.41103800699541654,1.6223762638304227
embed_dim,116,10,3,500,116,20,10,6,spectral,2.4965111250057817,9.849092916003428,0.4160851875009636,1.6415154860005714
embed_dim,116,11,3,500,116,20,10,6,spectral,2.4821169579518028,9.869618374970742,0.4136861596586338,1.6449363958284569
embed_dim,116,12,3,500,116,20,10,6,spectral,2.521131291985512,9.950298374984413,0.420188548664252,1.6583830624974023
embed_dim,116,13,3,500,116,20,10,6,spectral,2.5343456669943407,9.745452917006332,0.4223909444990568,1.6242421528343887
embed_dim,116,14,3,500,116,20,10,6,spectral,2.4157990000094287,9.588955874962267,0.4026331666682381,1.598159312493711
embed_dim,116,15,3,500,116,20,10,6,spectral,2.52474662498571,9.823692124977242,0.42079110416428495,1.6372820208295404
embed_dim,116,16,3,500,116,20,10,6,spectral,2.528271457995288,9.90634395799134,0.421378576332548,1.65105732633189
embed_dim,116,17,3,500,116,20,10,6,spectral,2.5113111659884453,10.013226874987595,0.41855186099807423,1.6688711458312657
embed_dim,116,18,3,500,116,20,10,6,spectral,2.531288416008465,9.672526625043247,0.4218814026680775,1.6120877708405412
embed_dim,116,19,3,500,116,20,10,6,spectral,2.5287856670329347,9.7794172919821,0.42146427783882245,1.6299028819970165
embed_dim,116,0,4,500,116,20,10,6,spectral,2.596933041990269,10.10203895898303,0.43282217366504483,1.683673159830505
embed_dim,116,1,4,500,116,20,10,6,spectral,2.546280750015285,10.432530166988727,0.42438012500254746,1.7387550278314545
embed_dim,116,2,4,500,116,20,10,6,spectral,2.5733504579984583,10.477884709020145,0.42889174299974303,1.7463141181700241
embed_dim,116,3,4,500,116,20,10,6,spectral,2.5661630000104196,10.005156708997674,0.42769383333506994,1.667526118166279
embed_dim,116,4,4,500,116,20,10,6,spectral,2.58065204101149,10.208100749994628,0.430108673501915,1.7013501249991048
embed_dim,116,5,4,500,116,20,10,6,spectral,2.537259417003952,10.120922707952559,0.42287656950065866,1.6868204513254266
embed_dim,116,6,4,500,116,20,10,6,spectral,2.584523542027455,10.219289958011359,0.4307539236712425,1.7032149930018932
embed_dim,116,7,4,500,116,20,10,6,spectral,2.5367564579937607,10.530514082987793,0.42279274299896014,1.7550856804979655
embed_dim,116,8,4,500,116,20,10,6,spectral,2.8525382920051925,10.246770375000779,0.4754230486675321,1.7077950625001297
embed_dim,116,9,4,500,116,20,10,6,spectral,2.6189637910574675,10.278040083998349,0.43649396517624456,1.7130066806663915
embed_dim,116,10,4,500,116,20,10,6,spectral,2.5747005000011995,10.246295832970645,0.42911675000019994,1.7077159721617743
embed_dim,116,11,4,500,116,20,10,6,spectral,2.571988333016634,10.299042749975342,0.428664722169439,1.7165071249958903
embed_dim,116,12,4,500,116,20,10,6,spectral,2.560191416996531,10.366091624950059,0.42669856949942186,1.7276819374916765
embed_dim,116,13,4,500,116,20,10,6,spectral,2.6022446250426583,10.156938292027917,0.4337074375071097,1.6928230486713194
embed_dim,116,14,4,500,116,20,10,6,spectral,2.5054698750027455,10.317024791031145,0.41757831250045757,1.719504131838524
embed_dim,116,15,4,500,116,20,10,6,spectral,2.5622597920009866,10.240020915982313,0.4270432986668311,1.706670152663719
embed_dim,116,16,4,500,116,20,10,6,spectral,2.584648334013764,10.465854666021187,0.4307747223356273,1.7443091110035311
embed_dim,116,17,4,500,116,20,10,6,spectral,2.5802922919974662,10.064333499991335,0.43004871533291106,1.6773889166652225
embed_dim,116,18,4,500,116,20,10,6,spectral,2.6357314999913797,10.494241291016806,0.43928858333189663,1.7490402151694677
embed_dim,116,19,4,500,116,20,10,6,spectral,2.6103548749815673,10.792892290977761,0.43505914583026123,1.7988153818296269
embed_dim,214,0,3,500,214,20,10,6,spectral,2.6394735000212677,11.180225707998034,0.4399122500035446,1.8633709513330057
embed_dim,214,1,3,500,214,20,10,6,spectral,2.5782589170266874,11.05952787498245,0.4297098195044479,1.8432546458304084
embed_dim,214,2,3,500,214,20,10,6,spectral,2.5874592080363072,11.303399958007503,0.43124320133938454,1.8838999930012506
embed_dim,214,3,3,500,214,20,10,6,spectral,2.535856208007317,11.328288332966622,0.42264270133455284,1.888048055494437
embed_dim,214,4,3,500,214,20,10,6,spectral,2.533109500014689,11.139417750004213,0.4221849166691148,1.8565696250007022
embed_dim,214,5,3,500,214,20,10,6,spectral,2.543095584027469,11.264770624984521,0.4238492640045782,1.8774617708307535
embed_dim,214,6,3,500,214,20,10,6,spectral,2.579350416024681,11.029837750014849,0.4298917360041135,1.8383062916691415
embed_dim,214,7,3,500,214,20,10,6,spectral,2.5456465409952216,11.254298750020098,0.4242744234992036,1.875716458336683
embed_dim,214,8,3,500,214,20,10,6,spectral,2.592483958986122,10.65345908299787,0.43208065983102034,1.7755765138329782
embed_dim,214,9,3,500,214,20,10,6,spectral,2.513758874963969,10.54401495802449,0.41895981249399483,1.757335826337415
embed_dim,214,10,3,500,214,20,10,6,spectral,2.5691693340195343,10.506951124989428,0.4281948890032557,1.7511585208315712
embed_dim,214,11,3,500,214,20,10,6,spectral,2.5365144590032287,10.48089758300921,0.42275240983387147,1.7468162638348683
embed_dim,214,12,3,500,214,20,10,6,spectral,2.633094708027784,10.642348458000924,0.4388491180046306,1.7737247430001541
embed_dim,214,13,3,500,214,20,10,6,spectral,2.5041944590047933,10.447377041971777,0.41736574316746555,1.741229506995296
embed_dim,214,14,3,500,214,20,10,6,spectral,2.5741912499652244,10.856261875014752,0.4290318749942041,1.8093769791691254
embed_dim,214,15,3,500,214,20,10,6,spectral,2.5020561250275932,10.817695749981795,0.41700935417126556,1.8029492916636325
embed_dim,214,16,3,500,214,20,10,6,spectral,2.53270583297126,10.79982429096708,0.4221176388285433,1.7999707151611801
