axis_name,axis_value,stage,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
p,50,start,0,5,1500,50,20,10,5,kmeans,3.2393715840298682,21.479570624884218,0.6478743168059736,4.295914124976844
p,50,start,1,5,1500,50,20,10,5,kmeans,2.924453833140433,20.713937083026394,0.5848907666280866,4.1427874166052785
p,50,start,2,5,1500,50,20,10,5,kmeans,2.744867166969925,19.962088959058747,0.5489734333939851,3.992417791811749
p,50,start,3,5,1500,50,20,10,5,kmeans,2.488719333196059,19.70118466601707,0.4977438666392118,3.940236933203414
p,50,start,4,5,1500,50,20,10,5,kmeans,2.5331046669743955,19.874480499885976,0.5066209333948791,3.974896099977195
p,50,start,5,5,1500,50,20,10,5,kmeans,2.7851832499727607,19.829195542028174,0.5570366499945522,3.9658391084056346
p,50,start,6,5,1500,50,20,10,5,kmeans,2.5285174581222236,19.599073250079527,0.5057034916244447,3.9198146500159057
p,50,start,7,5,1500,50,20,10,5,kmeans,2.70465529197827,19.88298266590573,0.5409310583956539,3.9765965331811457
p,50,start,8,5,1500,50,20,10,5,kmeans,2.7371302500832826,19.665034333011135,0.5474260500166566,3.933006866602227
p,50,start,9,5,1500,50,20,10,5,kmeans,2.856656084069982,19.90376887493767,0.5713312168139965,3.9807537749875337
p,50,start,10,5,1500,50,20,10,5,kmeans,2.6111450002063066,19.600823083892465,0.5222290000412613,3.920164616778493
p,50,start,11,5,1500,50,20,10,5,kmeans,2.9064490830060095,20.334482708014548,0.5812898166012019,4.06689654160291
p,50,start,12,5,1500,50,20,10,5,kmeans,2.623719665920362,20.040626582922414,0.5247439331840724,4.008125316584483
p,50,start,13,5,1500,50,20,10,5,kmeans,2.5293839171063155,19.705768916988745,0.5058767834212631,3.9411537833977492
p,50,start,14,5,1500,50,20,10,5,kmeans,2.913406375097111,20.901226500049233,0.5826812750194221,4.1802453000098465
p,50,start,15,5,1500,50,20,10,5,kmeans,2.9053200830239803,20.110059875063598,0.581064016604796,4.0220119750127195
p,50,start,16,5,1500,50,20,10,5,kmeans,2.673832207918167,20.320686749881133,0.5347664415836334,4.064137349976226
p,50,start,17,5,1500,50,20,10,5,kmeans,2.8626013749744743,20.221831749891862,0.5725202749948949,4.044366349978373
p,50,start,18,5,1500,50,20,10,5,kmeans,2.674765625037253,19.96582591580227,0.5349531250074506,3.993165183160454
p,50,start,19,5,1500,50,20,10,5,kmeans,2.4537895410321653,19.478603000054136,0.49075790820643306,3.895720600010827
p,525,middle,0,5,1500,525,20,10,5,kmeans,26.066586167085916,59.2014850419946,5.213317233417183,11.84029700839892
p,525,middle,1,5,1500,525,20,10,5,kmeans,24.163630166091025,59.61612320900895,4.832726033218205,11.92322464180179
p,525,middle,2,5,1500,525,20,10,5,kmeans,28.229250457836315,59.44318229192868,5.645850091567263,11.888636458385736
p,525,middle,3,5,1500,525,20,10,5,kmeans,26.075227292021737,58.94595083408058,5.215045458404347,11.789190166816116
p,525,middle,4,5,1500,525,20,10,5,kmeans,24.691649249987677,58.832144416170195,4.938329849997535,11.766428883234038
p,525,middle,5,5,1500,525,20,10,5,kmeans,28.452447584131733,59.70305099990219,5.6904895168263465,11.940610199980437
p,525,middle,6,5,1500,525,20,10,5,kmeans,28.979176375083625,60.39333054097369,5.795835275016725,12.078666108194739
p,525,middle,7,5,1500,525,20,10,5,kmeans,27.467601042008027,59.638506583170965,5.4935202084016055,11.927701316634193
p,525,middle,8,5,1500,525,20,10,5,kmeans,24.020388290984556,58.254134624963626,4.804077658196912,11.650826924992725
p,525,middle,9,5,1500,525,20,10,5,kmeans,24.785972375189885,59.143827833933756,4.957194475037977,11.828765566786752
p,525,middle,10,5,1500,525,20,10,5,kmeans,25.406572500010952,59.34047345793806,5.081314500002191,11.868094691587611
p,525,middle,11,5,1500,525,20,10,5,kmeans,28.362499124836177,65.41389708314091,5.672499824967235,13.082779416628181
p,525,middle,12,5,1500,525,20,10,5,kmeans,31.317045707954094,64.67087620892562,6.263409141590818,12.934175241785123
p,525,middle,13,5,1500,525,20,10,5,kmeans,25.078888416988775,67.2114681659732,5.015777683397755,13.442293633194641
p,525,middle,14,5,1500,525,20,10,5,kmeans,30.310424374882132,68.53286195802502,6.062084874976426,13.706572391605004
p,525,middle,15,5,1500,525,20,10,5,kmeans,30.96860208408907,67.43148412485607,6.193720416817814,13.486296824971214
p,525,middle,16,5,1500,525,20,10,5,kmeans,27.17807750008069,63.64499649987556,5.435615500016138,12.728999299975111
p,525,middle,17,5,1500,525,20,10,5,kmeans,29.679654042003676,66.3240594160743,5.935930808400736,13.264811883214861
p,525,middle,18,5,1500,525,20,10,5,kmeans,31.454207999864593,68.14568633283488,6.290841599972919,13.629137266566977
p,525,middle,19,5,1500,525,20,10,5,kmeans,26.631271874997765,64.90022149984725,5.326254374999553,12.98004429996945
p,1000,end,0,5,1500,1000,20,10,5,kmeans,78.83860608306713,108.92557745892555,15.767721216613428,21.78511549178511
p,1000,end,1,5,1500,1000,20,10,5,kmeans,76.3617721251212,103.92992241703905,15.272354425024242,20.78598448340781
