axis_name,axis_value,stage,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
n_total,1000,start,0,5,1000,50,20,10,5,kmeans,2.235401292098686,15.642990125110373,0.4470802584197372,3.1285980250220744
n_total,1000,start,1,5,1000,50,20,10,5,kmeans,2.219438167056069,15.717525999993086,0.44388763341121373,3.143505199998617
n_total,1000,start,2,5,1000,50,20,10,5,kmeans,2.2790000829845667,15.480910500045866,0.4558000165969133,3.096182100009173
n_total,1000,start,3,5,1000,50,20,10,5,kmeans,2.19146570796147,15.601130832917988,0.438293141592294,3.1202261665835977
n_total,1000,start,4,5,1000,50,20,10,5,kmeans,2.241637707920745,15.601735417032614,0.448327541584149,3.120347083406523
n_total,1000,start,5,5,1000,50,20,10,5,kmeans,2.278341791126877,15.738323583034799,0.45566835822537544,3.14766471660696
n_total,1000,start,6,5,1000,50,20,10,5,kmeans,2.1138887081760913,15.639192999806255,0.42277774163521825,3.127838599961251
n_total,1000,start,7,5,1000,50,20,10,5,kmeans,2.060415833024308,15.190755666000769,0.4120831666048616,3.0381511332001536
n_total,1000,start,8,5,1000,50,20,10,5,kmeans,2.2223865420091897,15.420289082918316,0.44447730840183797,3.0840578165836634
n_total,1000,start,9,5,1000,50,20,10,5,kmeans,2.153147874865681,15.114865875104442,0.4306295749731362,3.0229731750208884
n_total,1000,start,10,5,1000,50,20,10,5,kmeans,2.2306985419709235,15.43144758301787,0.4461397083941847,3.086289516603574
n_total,1000,start,11,5,1000,50,20,10,5,kmeans,2.1923541671130806,15.636844291817397,0.4384708334226161,3.1273688583634796
n_total,1000,start,12,5,1000,50,20,10,5,kmeans,2.1478069161530584,15.117099292110652,0.42956138323061166,3.0234198584221303
n_total,1000,start,13,5,1000,50,20,10,5,kmeans,2.3711540419608355,15.701048332965001,0.4742308083921671,3.1402096665930004
n_total,1000,start,14,5,1000,50,20,10,5,kmeans,2.286957041826099,15.51284366613254,0.45739140836521985,3.1025687332265077
n_total,1000,start,15,5,1000,50,20,10,5,kmeans,2.1693168750498444,15.276336249895394,0.43386337500996885,3.055267249979079
n_total,1000,start,16,5,1000,50,20,10,5,kmeans,2.1156213330104947,15.542851499980316,0.42312426660209895,3.108570299996063
n_total,1000,start,17,5,1000,50,20,10,5,kmeans,2.0735183339565992,15.146562374895439,0.41470366679131987,3.0293124749790876
n_total,1000,start,18,5,1000,50,20,10,5,kmeans,2.0665863337926567,15.334236625116318,0.4133172667585313,3.0668473250232635
n_total,1000,start,19,5,1000,50,20,10,5,kmeans,2.000868417089805,14.883481916971505,0.400173683417961,2.9766963833943008
n_total,5500,middle,0,5,5500,50,20,10,5,kmeans,14.274850707966834,84.98422283283435,2.854970141593367,16.99684456656687
n_total,5500,middle,1,5,5500,50,20,10,5,kmeans,14.679450874915347,86.05511474981904,2.9358901749830695,17.21102294996381
n_total,5500,middle,2,5,5500,50,20,10,5,kmeans,13.74142770911567,84.77876258408651,2.748285541823134,16.955752516817302
n_total,5500,middle,3,5,5500,50,20,10,5,kmeans,15.467991624958813,86.91209433414042,3.0935983249917625,17.382418866828083
n_total,5500,middle,4,5,5500,50,20,10,5,kmeans,14.66809970792383,86.1875009580981,2.933619941584766,17.23750019161962
n_total,5500,middle,5,5,5500,50,20,10,5,kmeans,14.44519287487492,87.89323775004596,2.889038574974984,17.57864755000919
n_total,5500,middle,6,5,5500,50,20,10,5,kmeans,13.63210712489672,83.94328870810568,2.726421424979344,16.788657741621137
n_total,5500,middle,7,5,5500,50,20,10,5,kmeans,14.268230374902487,85.49236579192802,2.8536460749804973,17.098473158385605
n_total,5500,middle,8,5,5500,50,20,10,5,kmeans,14.341458417009562,85.47379666706547,2.8682916834019125,17.094759333413094
