axis_name,axis_value,dataset_iteration,true_k,n,p,B,n_jobs,n_test_ks,estimator,t_carve_sec_s,t_carve_sec_g,t_carve_per_k_sec_s,t_carve_per_k_sec_g
n_total,100,0,3,100,64,20,10,6,spectral,0.5219034170004306,6.435368291990017,0.08698390283340511,1.0725613819983362
n_total,100,1,3,100,64,20,10,6,spectral,0.49513062500045635,6.372046083008172,0.08252177083340939,1.062007680501362
n_total,100,2,3,100,64,20,10,6,spectral,0.503749625000637,6.3022963749972405,0.0839582708334395,1.0503827291662067
n_total,100,3,3,100,64,20,10,6,spectral,0.5038995840004645,6.209349166994798,0.08398326400007743,1.0348915278324664
n_total,100,4,3,100,64,20,10,6,spectral,0.5072460829978809,6.441761875001248,0.08454101383298014,1.0736269791668747
n_total,100,5,3,100,64,20,10,6,spectral,0.4957045840128558,6.267566124995938,0.08261743066880929,1.0445943541659897
n_total,100,6,3,100,64,20,10,6,spectral,0.4896217499917839,6.225357500006794,0.08160362499863065,1.0375595833344657
n_total,100,7,3,100,64,20,10,6,spectral,0.5026762909983518,6.244336916002794,0.08377938183305862,1.040722819333799
n_total,100,8,3,100,64,20,10,6,spectral,0.503603250006563,6.1541296250070445,0.08393387500109384,1.0256882708345074
n_total,100,9,3,100,64,20,10,6,spectral,0.5002670000103535,6.238368292004452,0.08337783333505892,1.0397280486674088
n_total,100,10,3,100,64,20,10,6,spectral,0.5771901669941144,6.124709541996708,0.09619836116568574,1.020784923666118
n_total,100,11,3,100,64,20,10,6,spectral,0.5092061250034021,6.2780892080045305,0.08486768750056702,1.0463482013340883
n_total,100,12,3,100,64,20,10,6,spectral,0.513674333007657,6.287927166005829,0.08561238883460949,1.0479878610009716
n_total,100,13,3,100,64,20,10,6,spectral,0.5045000410027569,6.2925798340002075,0.08408334016712615,1.0487633056667012
n_total,100,14,3,100,64,20,10,6,spectral,0.48840000000200234,6.189130416008993,0.08140000000033372,1.0315217360014988
n_total,100,15,3,100,64,20,10,6,spectral,0.49095366601250134,6.219205916990177,0.08182561100208356,1.0365343194983627
n_total,100,16,3,100,64,20,10,6,spectral,0.49471604100835975,6.390845917005208,0.08245267350139329,1.0651409861675347
n_total,100,17,3,100,64,20,10,6,spectral,0.5101125829969533,6.317910167010268,0.08501876383282554,1.0529850278350448
n_total,100,18,3,100,64,20,10,6,spectral,0.5144722090044525,6.118998832986108,0.08574536816740874,1.019833138831018
n_total,100,19,3,100,64,20,10,6,spectral,0.5115850419970229,6.219293792004464,0.08526417366617049,1.0365489653340774
n_total,100,0,4,100,64,20,10,6,spectral,0.49254841600486543,6.085201750000124,0.08209140266747757,1.0142002916666872
n_total,100,1,4,100,64,20,10,6,spectral,0.4846045839949511,6.329654500004835,0.08076743066582519,1.0549424166674726
n_total,100,2,4,100,64,20,10,6,spectral,0.5047075000038603,6.144540249995771,0.08411791666731006,1.0240900416659617
n_total,100,3,4,100,64,20,10,6,spectral,0.49650858300447,6.312708666999242,0.082751430500745,1.0521181111665403
n_total,100,4,4,100,64,20,10,6,spectral,0.4900386249937583,6.1722297920059646,0.08167310416562638,1.0287049653343274
n_total,100,5,4,100,64,20,10,6,spectral,0.5029048750002403,6.292906000002404,0.08381747916670672,1.0488176666670672
n_total,100,6,4,100,64,20,10,6,spectral,0.4911641249927925,6.287700542001403,0.08186068749879875,1.0479500903335672
n_total,100,7,4,100,64,20,10,6,spectral,0.4929193340067286,6.121520542001235,0.08215322233445477,1.0202534236668725
n_total,100,8,4,100,64,20,10,6,spectral,0.48951558300177567,6.029889834011556,0.08158593050029594,1.004981639001926
n_total,100,9,4,100,64,20,10,6,spectral,0.5098982499912381,6.211109750001924,0.08498304166520636,1.035184958333654
n_total,100,10,4,100,64,20,10,6,spectral,0.4914385829906678,6.3528835420002,0.08190643049844464,1.0588139236667
n_total,100,11,4,100,64,20,10,6,spectral,0.4968834580067778,6.283285541998339,0.0828139096677963,1.0472142569997231
n_total,100,12,4,100,64,20,10,6,spectral,0.49015408300329,6.720916666992707,0.081692347167215,1.1201527778321179
n_total,100,13,4,100,64,20,10,6,spectral,0.5158039580128388,6.939105541998288,0.08596732633547315,1.156517590333048
n_total,100,14,4,100,64,20,10,6,spectral,0.5117172500031302,6.340841583994916,0.08528620833385503,1.0568069306658192
n_total,100,15,4,100,64,20,10,6,spectral,0.4981559159932658,6.246233541998663,0.08302598599887763,1.041038923666444
n_total,100,16,4,100,64,20,10,6,spectral,0.47778279200429097,6.052409750001971,0.0796304653340485,1.0087349583336618
n_total,100,17,4,100,64,20,10,6,spectral,0.5027504580066307,6.155125792007311,0.0837917430011051,1.0258542986678851
n_total,100,18,4,100,64,20,10,6,spectral,0.49994708300800994,6.11779795800976,0.08332451383466832,1.0196329930016266
n_total,100,19,4,100,64,20,10,6,spectral,0.5163698749965988,6.172335208000732,0.08606164583276647,1.0287225346667885
n_total,255,0,3,255,64,20,10,6,spectral,1.3897146670060465,7.555111166991992,0.23161911116767442,1.2591851944986654
n_total,255,1,3,255,64,20,10,6,spectral,1.3971002089965623,7.348755583007005,0.23285003483276037,1.2247925971678342
n_total,255,2,3,255,64,20,10,6,spectral,1.393804999999702,7.3920896659983555,0.23230083333328366,1.2320149443330592
n_total,255,3,3,255,64,20,10,6,spectral,1.3724727920052828,7.427127332994132,0.2287454653342138,1.2378545554990221
n_total,255,4,3,255,64,20,10,6,spectral,1.3765565000067,7.322942791986861,0.22942608333445,1.2204904653311435
n_total,255,5,3,255,64,20,10,6,spectral,1.3869174999999814,7.4332407920010155,0.23115291666666357,1.2388734653335025
n_total,255,6,3,255,64,20,10,6,spectral,1.399819957994623,7.501777375000529,0.2333033263324372,1.2502962291667548
n_total,255,7,3,255,64,20,10,6,spectral,1.3701784169970779,7.455931082993629,0.228363069499513,1.2426551804989383
n_total,255,8,3,255,64,20,10,6,spectral,1.3780202499910956,7.4733538330037845,0.2296700416651826,1.2455589721672975
n_total,255,9,3,255,64,20,10,6,spectral,1.368144874999416,7.358829832999618,0.22802414583323602,1.2264716388332697
n_total,255,10,3,255,64,20,10,6,spectral,1.448555666996981,7.338622625000426,0.24142594449949684,1.2231037708334043
n_total,255,11,3,255,64,20,10,6,spectral,1.4123564590117894,7.317774875002215,0.23539274316863157,1.2196291458337025
n_total,255,12,3,255,64,20,10,6,spectral,1.4479821249988163,7.381690666006762,0.2413303541664694,1.2302817776677937
n_total,255,13,3,255,64,20,10,6,spectral,1.4020468749949941,7.463618916008272,0.23367447916583237,1.2439364860013786
n_total,255,14,3,255,64,20,10,6,spectral,1.3619473750004545,7.36865754199971,0.22699122916674241,1.228109590333285
n_total,255,15,3,255,64,20,10,6,spectral,1.3745527919963934,7.363946500001475,0.2290921319993989,1.2273244166669126
n_total,255,16,3,255,64,20,10,6,spectral,1.3705401670013089,7.443084790997091,0.2284233611668848,1.2405141318328485
n_total,255,17,3,255,64,20,10,6,spectral,1.3928293329954613,7.493161249993136,0.2321382221659102,1.2488602083321894
n_total,255,18,3,255,64,20,10,6,spectral,1.3407967499952065,7.289686709002126,0.22346612499920107,1.2149477848336876
n_total,255,19,3,255,64,20,10,6,spectral,1.5000849589996506,7.703896874998463,0.2500141598332751,1.2839828124997439
n_total,255,0,4,255,64,20,10,6,spectral,1.3876941250055097,7.270046250006999,0.23128235416758494,1.2116743750011665
n_total,255,1,4,255,64,20,10,6,spectral,1.3931242090038722,7.4907165829936275,0.23218736816731203,1.2484527638322713
n_total,255,2,4,255,64,20,10,6,spectral,1.3594611669977894,7.281381207998493,0.22657686116629824,1.2135635346664155
n_total,255,3,4,255,64,20,10,6,spectral,1.372322333001648,7.37962208299723,0.228720388833608,1.2299370138328716
n_total,255,4,4,255,64,20,10,6,spectral,1.3903016249969369,7.358574041994871,0.2317169374994895,1.226429006999145
n_total,255,5,4,255,64,20,10,6,spectral,1.4264561669988325,7.364090666000266,0.23774269449980542,1.2273484443333775
n_total,255,6,4,255,64,20,10,6,spectral,1.435022666992154,7.359173665987328,0.23917044449869232,1.2265289443312213
n_total,255,7,4,255,64,20,10,6,spectral,1.398563374998048,7.39046545799647,0.233093895833008,1.2317442429994117
n_total,255,8,4,255,64,20,10,6,spectral,1.4013464589952491,7.297854499993264,0.23355774316587485,1.2163090833322105
n_total,255,9,4,255,64,20,10,6,spectral,1.3697892909985967,7.3680754999950295,0.22829821516643278,1.2280125833325048
n_total,255,10,4,255,64,20,10,6,spectral,1.3741720419930061,7.426322750005056,0.22902867366550103,1.237720458334176
n_total,255,11,4,255,64,20,10,6,spectral,1.4140300409926567,7.359642417010036,0.23567167349877613,1.2266070695016726
n_total,255,12,4,255,64,20,10,6,spectral,1.3903145840013167,7.360376124997856,0.23171909733355278,1.2267293541663093
n_total,255,13,4,255,64,20,10,6,spectral,1.485264000002644,7.306147459006752,0.24754400000044066,1.217691243167792
n_total,255,14,4,255,64,20,10,6,spectral,1.4070242500019958,7.37821641699702,0.2345040416669993,1.22970273616617
n_total,255,15,4,255,64,20,10,6,spectral,1.4819676670012996,7.339250374992844,0.24699461116688326,1.2232083958321407
n_total,255,16,4,255,64,20,10,6,spectral,1.3721787499962375,7.282450958999107,0.22869645833270624,1.2137418264998512
n_total,255,17,4,255,64,20,10,6,spectral,1.4132867919979617,7.381371042007231,0.23554779866632694,1.2302285070012051
n_total,255,18,4,255,64,20,10,6,spectral,1.4571483330073534,7.329371041996637,0.24285805550122555,1.2215618403327728
n_total,255,19,4,255,64,20,10,6,spectral,1.378252791997511,7.330307790994993,0.22970879866625182,1.2217179651658323
n_total,411,0,3,411,64,20,10,6,spectral,3.1847741670062533,9.005106334006996,0.5307956945010422,1.5008510556678327
n_total,411,1,3,411,64,20,10,6,spectral,3.2282760409871116,9.230291042011231,0.5380460068311853,1.5383818403352052
n_total,411,2,3,411,64,20,10,6,spectral,3.2165567080082837,9.14037795799959,0.5360927846680473,1.523396326333265
n_total,411,3,3,411,64,20,10,6,spectral,3.1982293750043027,9.110394874995109,0.5330382291673837,1.5183991458325181
n_total,411,4,3,411,64,20,10,6,spectral,3.5160699160041986,9.171133999989252,0.5860116526673664,1.5285223333315419
n_total,411,5,3,411,64,20,10,6,spectral,3.171062666006037,9.142920708007296,0.5285104443343395,1.5238201180012159
n_total,411,6,3,411,64,20,10,6,spectral,3.224896917003207,9.11193541699322,0.5374828195005344,1.5186559028322033
n_total,411,7,3,411,64,20,10,6,spectral,3.3964457920083078,9.213541791992611,0.5660742986680513,1.5355902986654353
n_total,411,8,3,411,64,20,10,6,spectral,3.3023334169993177,9.180758499991498,0.5503889028332196,1.5301264166652497
n_total,411,9,3,411,64,20,10,6,spectral,3.2039034579938743,9.157499665991054,0.5339839096656457,1.5262499443318422
n_total,411,10,3,411,64,20,10,6,spectral,3.207957249993342,9.19205625000177,0.534659541665557,1.532009375000295
n_total,411,11,3,411,64,20,10,6,spectral,3.2855199580080807,9.172130834005657,0.5475866596680135,1.5286884723342762
n_total,411,12,3,411,64,20,10,6,spectral,3.3102600420097588,9.218941915998585,0.5517100070016264,1.5364903193330974
n_total,411,13,3,411,64,20,10,6,spectral,3.2422656249982538,9.365768083996954,0.5403776041663756,1.5609613473328257
n_total,411,14,3,411,64,20,10,6,spectral,3.2765873329917667,9.157797790991026,0.5460978888319611,1.5262996318318376
n_total,411,15,3,411,64,20,10,6,spectral,3.374032667008578,9.40595137499622,0.5623387778347629,1.5676585624993702
n_total,411,16,3,411,64,20,10,6,spectral,3.23061958400649,9.282451499995659,0.5384365973344151,1.5470752499992766
n_total,411,17,3,411,64,20,10,6,spectral,3.1572997920011403,9.046105667002848,0.5262166320001901,1.507684277833808
n_total,411,18,3,411,64,20,10,6,spectral,3.2931505000015022,9.22716979199322,0.548858416666917,1.5378616319988698
n_total,411,19,3,411,64,20,10,6,spectral,3.210862250009086,9.279660208005225,0.5351437083348477,1.5466100346675375
n_total,411,0,4,411,64,20,10,6,spectral,3.303567374998238,9.611402292008279,0.5505945624997063,1.6019003820013797
n_total,411,1,4,411,64,20,10,6,spectral,3.8489337919891113,10.302877833004459,0.6414889653315186,1.7171463055007432
n_total,411,2,4,411,64,20,10,6,spectral,3.278038791002473,8.884478209001827,0.5463397985004121,1.4807463681669712
n_total,411,3,4,411,64,20,10,6,spectral,3.25137966699549,9.270661791990278,0.541896611165915,1.5451102986650465
